code,States,Amy Klobuchar,Andrew Yang,Bernard Sanders,Cory A. Booker,Deval Patrick,Elizabeth Warren,Joseph R. Biden Jr.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Lead,Leading Candidate
AL,Alabama,1,1,18,8,,9,39,4,,0,21,Joe Biden
AZ,Arizona,1,3,18,1,,21,27,8,0,1,6,Joe Biden
CA,California,1,3,19,2,0,19,23,8,1,2,3,Joe Biden
CO,Colorado,0,4,20,2,,20,23,6,0,1,3,Joe Biden
FL,Florida,1,1,12,1,,12,34,6,0,1,21,Joe Biden
GA,Georgia,1,3,14,2,,16,35,6,0,1,20,Joe Biden
IL,Illinois,2,1,15,2,2,15,30,13,1,1,15,Joe Biden
IA,Iowa,4,2,16,3,0,16,22,14,2,1,6,Joe Biden
ME,Maine,0,3,14,3,,23,24,9,,0,9,Elizabeth Warren
MD,Maryland,1,1,10,1,,21,33,5,0,0,12,Joe Biden
MA,Massachusetts,1,1,13,2,6,18,21,8,1,1,3,Joe Biden
MI,Michigan,1,1,18,2,,16,31,5,0,1,13,Joe Biden
MN,Minnesota,16,3,16,1,,23,17,9,0,0,6,Elizabeth Warren
MS,Mississippi,1,0,14,2,,7,49,3,,0,35,Joe Biden
MO,Missouri,1,1,9,1,,19,39,8,,,20,Joe Biden
MT,Montana,2,0,2,0,,40,15,2,0,0,25,Elizabeth Warren
NV,Nevada,1,2,20,2,,18,28,6,4,1,10,Bernie Sanders
NH,New Hampshire,2,2,19,2,0,17,25,10,2,2,6,Joe Biden
NJ,New Jersey,1,1,20,7,,22,26,9,1,2,5,Joe Biden
NY,New York,1,2,15,1,0,17,22,4,0,1,5,Joe Biden
NC,North Carolina,1,3,16,2,,16,34,5,1,1,18,Joe Biden
OH,Ohio,0,3,18,2,,17,30,6,1,1,1,Joe Biden
OK,Oklahoma,1,0,5,2,,12,26,6,0,0,15,Joe Biden
OR,Oregon,,4,27,4,,6,26,3,,1,1,Bernie Sanders
PA,Pennsylvania,1,1,15,2,,13,33,6,1,1,20,Joe Biden
SC,South Carolina,1,1,12,5,0,12,40,5,3,1,27,Joe Biden
TN,Tennessee,1,0,13,1,,18,33,6,,1,15,Joe Biden
TX,Texas,1,2,15,2,,13,25,6,1,1,12,Joe Biden
VA,Virginia,1,2,14,2,,11,31,8,,0,20,Joe Biden
WA,Washington,1,2,18,1,,14,19,5,,1,2,Joe Biden
WI,Wisconsin,2,2,20,2,,20,23,8,0,1,3,Joe Biden
,,,,,,,,,,,,,
